Organismo;CpG_Count
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Mucrac1;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
